84	162	285
64	166	279
29	136	278
382	161	268
1769	148	262
48	160	259
310	131	259
606	141	258
236	138	257
438	151	253
281	129	253
117	143	247
248	150	236
519	146	234
219	164	233
191	171	231
419	170	228
44	140	224
78	139	220
291	145	219
405	159	212
533	137	207
367	184	205
579	170	205
28	139	204
456	135	202
417	158	201
381	170	200
336	182	200
465	160	198
535	128	198
95	172	197
153	133	196
96	160	196
448	136	192
286	133	192
39	176	189
492	160	183
421	152	183
482	135	181
187	128	179
149	129	179
301	128	177
234	162	175
213	142	172
45	176	171
536	165	170
140	137	170
99	167	168
184	139	166
212	167	164
420	151	164
415	169	163
630	175	161
580	135	161
105	140	161
590	145	159
98	139	159
408	169	158
404	143	153
600	129	150
79	144	149
593	139	147
737	136	147
409	153	145
626	131	145
416	177	144
138	178	142
522	136	142
437	129	141
120	138	141
1088	129	140
386	182	140
33	133	139
171	175	138
245	145	137
577	176	135
264	162	135
299	141	134
65	145	132
716	178	128
464	182	128
713	146	127
85	151	127
432	129	127
83	162	127
422	159	126
383	186	125
616	139	125
493	129	124
504	182	124
202	158	122
581	149	121
602	182	118
457	182	118
77	160	116
122	177	115
610	164	113
851	147	113
411	178	112
224	156	109
362	168	109
436	168	109
198	130	107
443	129	107
239	173	106
352	142	106
119	141	105
447	128	104
403	174	104
374	129	104
82	136	102
604	154	101
440	139	100
424	172	100
48	145	99
276	162	99
86	162	98
150	131	98
1169	182	98
204	139	97
423	171	96
351	139	96
369	139	95
265	129	95
568	129	95
308	137	94
1157	131	93
143	137	92
159	171	92
364	162	91
249	152	91
216	147	90
455	160	89
58	128	89
1690	182	88
668	182	88
20	135	86
380	136	85
467	160	85
101	168	84
364	182	83
173	158	83
200	166	82
592	129	82
470	160	82
395	154	81
326	176	80
521	182	79
136	156	78
427	189	76
246	152	75
267	176	74
575	153	74
2595	170	74
507	182	74
972	146	72
611	142	70
230	136	70
372	185	70
742	139	70
162	142	69
772	173	68
965	180	67
357	182	67
426	188	66
51	136	66
59	129	66
94	171	65
2686	139	65
104	133	65
127	129	65
27	139	64
971	182	64
479	160	63
631	131	63
290	181	61
270	145	60
361	182	59
588	192	59
376	182	59
614	158	57
114	131	57
216	136	57
618	129	57
412	161	56
100	157	56
89	169	56
944	158	56
399	136	55
503	182	55
480	136	55
527	131	55
486	135	55
166	156	54
552	129	54
428	190	54
620	137	52
700	145	52
852	148	52
583	133	52
314	139	51
695	177	51
980	182	51
623	131	50
444	129	50
537	193	50
269	142	50
431	133	50
277	156	50
511	136	50
197	146	49
561	129	49
425	187	49
457	131	49
939	129	49
439	166	48
453	182	48
981	182	48
61	158	48
240	145	47
297	131	47
2064	182	47
853	174	47
571	129	47
232	133	47
624	182	46
24	156	46
793	179	46
683	166	46
544	136	46
489	148	46
406	139	45
107	142	45
126	155	45
2710	134	45
745	142	44
3755	131	44
883	159	44
786	131	44
550	129	44
863	142	43
1148	182	43
569	138	43
1835	138	42
574	142	42
206	139	42
430	157	42
1698	148	42
124	133	41
125	145	41
565	136	41
688	129	41
216	140	40
87	134	40
646	136	40
274	168	40
538	136	40
549	134	39
237	137	39
484	135	39
410	136	39
446	141	39
57	133	38
642	182	38
719	187	38
289	180	38
392	182	38
2077	182	38
144	142	38
594	159	38
294	140	37
133	155	37
858	143	36
1366	142	36
91	142	36
389	182	36
321	129	36
615	146	36
706	145	36
688	145	36
681	160	36
677	182	36
477	135	36
254	129	35
379	182	35
209	139	35
1146	182	35
282	171	35
598	182	35
597	182	35
984	140	34
152	148	34
211	142	34
1338	145	33
292	182	33
495	135	33
390	185	33
516	192	33
882	171	33
501	135	32
296	128	32
256	129	32
693	135	32
64	192	32
1722	182	32
1713	157	32
865	135	31
715	179	31
230	152	31
174	164	31
413	146	31
1701	129	31
388	182	30
854	143	30
196	146	30
964	182	30
316	139	30
879	176	30
587	154	30
685	137	30
1147	182	30
650	130	30
873	145	30
141	136	30
115	155	29
304	134	29
170	138	29
874	160	29
880	129	29
43	129	29
763	136	28
1646	146	28
177	142	28
450	134	28
714	129	28
585	129	28
